index,sentence_1,sentence_2,calculated_similarity,actual_similarity
1074,I immediately dove into Half-Blood upon finishing Daimon.,Definitely made me what to read Half-Blood.,0.9982773,0.7190000000000001
1075,"So yes, women care about money.",Money is the only concern.,0.99810725,0.7190000000000001
1076,Maintain your personality all the time; you're quite unique.,I'd like to let you know that you're a unique person.,0.99503654,0.7190000000000001
1077,The registry file for the service account could not be loaded,could not load registry registry file.,0.9976473,0.7190000000000001
1078,An inflatable rock climbing obstacle is scaled by a person wearing a white helmet.,"One man is climbing a rock wall, while another man, below, holds a rope.",0.9991598,0.7190000000000001
1079,Because young men who get in trouble are more attractive and girls are drawn to them.,because badboys.. are more like eye candy.. us girls cant get enough.,0.99263424,0.7190000000000001
1080,Mustapha Hadji began playing football there .,Mustapha Hadji is a Moroccan football player .,0.9989084,0.7190000000000001
1081,Xypher has been given one month to be spent on earth by Hades to redeem himself.,Xypher is back on Earth for one month and he is not the only non human that is visiting New Orleans.,0.9995812,0.7190000000000001
1082,Nagri Tutial has an average elevation of 1243 metres .,Nagri Tutial is 1243 metres above the level of the sea .,0.99936175,0.7190000000000001
1083,It enjoy them talking real fast. It's funny.,It like they talk real fast allt he time and its funny,0.9993875,0.7190000000000001
1084,"This is a man in a clown costume balancing a saucer on top of a stick, on his nose.",A clown in a field with trees and people behind him balancing a plate on a stick on his nose.,0.99931467,0.7190000000000001
1085,I saw them in December and the show was amazing!,It is amazing that I saw her on the last tour.,0.998401,0.7190000000000001
1086,How can we visit Sun Yat-sen Mausoleum? Come.,we'd like to see the mausoleum Sun Yat-sen.,0.9992577,0.7190000000000001
1087,"Tomorrow, we're going away over the sea.",we will be far above the sea tomorrow.,0.99932575,0.7190000000000001
1088,"but you keep on changing your mind, Sir Launcelot.","if you still change minds, Mr. Lancelot.",0.99928343,0.7190000000000001
1089,A woman's best friend has to sign off on all big relationship decisions.,"for a woman, every relationship must be confirmed by her best friend.",0.99828225,0.7190000000000001
1090,"In many circumstances , these investments can be less expensive than fossil fuel energy systems .",Hydroelectric power can be far less expensive than electricity generated from fossil fuels or nuclear energy .,0.99794275,0.7190000000000001
1091,Edgar Meyer is a prominent contemporary bassist and composer .,Edgar Meyer is an American Grammy Award-winning double bassist .,0.99822223,0.7190000000000001
1092,What kind of book is the Reaper Man?,Reaper Man is a book about Death.,0.99652696,0.7190000000000001
1093,I really wanted to love this book but it just wasn't for me.,"Unfortunatelly, I didn't feel any connection with heroine and her POV wasn't interesting for me at all.",0.99725926,0.7190000000000001
1094,Was slow in the beginning but really picked up in the middle.,but it was a slow starter for me.,0.9988085,0.7190000000000001
1095,"Helicobacter pylori is a Gram-negative , microaerophilic bacterium that can inhabit various areas of the stomach and duodenum .",Helicobacter pylori is a spiral shaped bacterium that lives in or on the lining of the stomach .,0.999407,0.7190000000000001
1096,"The Myrtaceae or Myrtle family are a family of dicotyledon plants , placed within the order Myrtales .",The Myrtales are an order of flowering plants placed as a basal group within the rosid group of dicotyledons .,0.9993608,0.7190000000000001
1097,"Nevertheless, there are still some organisational and functional difficulties in terms of practical implementation at port level.","however, implementation in practice is still striking at organisational and operational difficulties in the ports themselves.",0.99821454,0.7190000000000001
1098,I know you hesitantly want an affirmative response; you should.,"i know you kind of want a yes, you should.",0.99908817,0.7190000000000001
1099,Mumtaz Mahal had a very deep and loving marriage with Shah Jahan .,Shah Jahan and Mumtaz Mahal were married for 19 years .,0.9986697,0.7190000000000001
1100,"After you dialed one digit, you are showing attention deficit disorder.",after you dialed one digit your A.D.D.,0.9961847,0.7190000000000001
1101,Aegir or Saturn XXXVI is a natural satellite of Saturn .,"Fornjot , or Saturn XLII , is a natural satellite of Saturn .",0.9993786,0.7190000000000001
1102,- Jane and Beast have soul bonded and what that means for the birth of them is being further explored.,"In addition to Jane, we are allowed better glimpses at other supporting characters, as well as some additional back stories.",0.99846613,0.7190000000000001
1103,Be certain of that before you decide to spend your life with this gentleman.,Maybe you should spend time with some gentleman.,0.99842286,0.7190000000000001
1104,"Catherine became pregnant for the first time , by Seymour , at age thirty-five .","Not long afterwards , Catherine was married to Thomas Seymour and soon became pregnant .",0.9992944,0.7190000000000001
1105,The yacht's in her name and he's living on it.,she lives on a yacht that's written on her name.,0.9993607,0.7190000000000001
1106,In 1975 the Country Party changed its name to the National Country Party as part of a strategy to expand into urban areas .,It was first called the Country Party when it started in 1922 and then became the National Country Party in 1975 .,0.9987488,0.7190000000000001
1107,"She was just not as beautiful as her two sisters, who were apparently medieval models.","In this version, Belle tries to live up to the beauty standards of her two older sisters and feels lost in their shadow.",0.9986366,0.7190000000000001
1108,"After some experience, I have decided that I would like cultural interaction in my marriage.",i have been participating in cultural interaction and now i want it in my marriage.,0.9983554,0.7190000000000001
1109,After giving birth to Mary McCartney Stella McCartney and James McCartney she said that four children was enough .,"She is the mother of artists Heather McCartney and Mary McCartney , fashion designer Stella McCartney , and musician James McCartney .",0.998624,0.7190000000000001
1110,Bridgit Claire Mendler is an American teen actress .,Jamie Lynn Spears is an American teen actress .,0.99888444,0.7190000000000001
1111,"Flowers, normally roses, and a box of candy.","Flowers, candy, and a soft kiss on the forehead.",0.99970365,0.7190000000000001
1112,"in patients taking AVANDIA or similar medicines, a new macular oedema may occur, or may result in an existing macular oedema.",New or worse cases of macular oedema have occurred on rare occasions in people taking Avaglim and similar medicines.,0.99882877,0.7190000000000001
1113,"For instance , cancer is responsible for many deaths but is not considered a pandemic because the disease is not infectious or contagious .",A disease or condition is not a pandemic merely because it is widespread or kills many people ; it must also be infectious .,0.99887466,0.7190000000000001
1114,Oscar Fredrik Dronjak is the rhythm guitarist and founder of the Power Metal band Hammerfall .,Pontus Norgren is the current guitarist of the Swedish power metal band HammerFall and formerly played guitar for The Poodles .,0.99906754,0.7190000000000001
1115,A Borderland Jump-Rope Rhyme (poem) - Jane Yolen And... Yolen gets three in this anthology?,A borderland Jump-rope Rhyme - Jane Yolen - Mmmm da.,0.9971469,0.7190000000000001
1116,"Remember, the 20's were a desperate time in Germany.","you know, 20 years ago, she was in Germany a time of despair.",0.99914515,0.7190000000000001
1117,"All about them zircons, garnets, and iodestones flashed like stars.","everywhere on their clothing, the stars glinted with zircons, theatricals, diabbles, and other gems.",0.9994998,0.7190000000000001
1118,"Nupedia was founded on March 9 , 2000 , under the ownership of Bomis , Inc , a web portal company .","Nupedia 's articles were written and owned by Bomis , Inc which was a web portal company .",0.99849206,0.7190000000000001
1119,"After all, pursuant to Article 6(3) of the Habitats Directive, the implications of a project must be assessed before it is authorised.",the consequences of the purpose for the site must be assessed before its authorisation under Article 6 (3) of the Habitats Directive.,0.9970614,0.7190000000000001
1120,"On the left, beneath the large squares, the words ""Good Luck"" appear.","It is on the left side, and below the big squares. Good Luck.",0.99954927,0.7190000000000001
1121,"You're not thinking whatl think you're thinking, are you?","you weren't thinking what I thought you were thinking, did you?",0.9940561,0.7190000000000001
1122,"The population was 42,610 at the 2000 census .","42,610 people were living in Altadena as of 2000 .",0.9990309,0.7190000000000001
1123,"Back behind him now, wind blows through Jamf's crypt.","the wind was blowing through his back, through Jamal's tomb.",0.9995501,0.7190000000000001
1124,Spicules of snow tapped softly on the window.,"Outside the window, the snow was coming down heavily.",0.99883175,0.7190000000000001
1125,The sun extruded a jet of plasma some millions of miles long.,a stream of plasma spans a few million kilometers from the sun.,0.999401,0.7190000000000001
1126,US drone strike kills 11 in Pakistan,US drone kills 16 in Pakistan,0.9998432,0.7190000000000001
1127,"Gheorghe Hagi , is a Romanian former football player of Aromanian origin .",Bogdan Gheorghe Stelea is a former Romanian football goalkeeper .,0.99905276,0.7190000000000001
1128,Epimetheus is an inner satellite of Saturn .,"Fornjot , or Saturn XLII , is a natural satellite of Saturn .",0.9990731,0.7190000000000001
1129,"A near copy of the British VC-10, the four-engine aircraft taxied to the remotest service area for refueling.","a four-engine aircraft, almost loyal to a British VC-10, rotated to the furthest station by ground crews to refuel.",0.99952734,0.7190000000000001
1130,A girl wearing sunglasses and an orange tank top hula hoops.,girls wearing pink clothing playing the hula hoop.,0.9992393,0.7190000000000001
1131,For it would not do to get lost in the Labyrinth.,losing in the Labyrinth would not be good.,0.9986745,0.7190000000000001
1132,It is not the eastern shore that worries me.,I'm not worried about the East Bank.,0.9990208,0.7190000000000001
1133,This was a worthy prequel to Half-Blood.,Daimon: A Prequel to Half-Blood (Covenant) (p. 23).,0.993875,0.7190000000000001
1134,A man is strumming his stringed instrument attached to an amp.,A man with a painted face and braided ribbon on his forehead plays an instrument.,0.99771607,0.7190000000000001
1135,Caldwell is the home of the College of Idaho .,Caldwell is a city of Idaho in the United States .,0.9982374,0.7190000000000001
1136,"Video games developed by Japanese studio Nintendo Research & Development 1 , a defunct division of Nintendo .","Video games developed by Japanese studio Intelligent Systems , a division of Nintendo .",0.9998386,0.7190000000000001
1137,Yes. The worthiness at the end makes the difference.,sure i mean what makes the difference its worth it in the end.,0.9974829,0.7190000000000001
1138,A teacher standing up in front of her students in a classroom.,Several Students watch a teacher in art class.,0.99909353,0.7190000000000001
1139,"Then Aida appears and , when Radames sees her , Amneris notices that he looks disturbed .",She notices how he looks disturbed when Aida comes in and wonders whether she is the girl Radames loves .,0.99750966,0.7190000000000001
1140,basicaly the reality you thought was just a fantasy,Sounds like both of you like living in fantasy land...not reality.,0.9989692,0.7190000000000001
1141,"The word `` carnivore '' sometimes refers to the mammalian Order Carnivora , but this is somewhat misleading .",The word `` Carnivore '' also can mean any animal in the scientific order Carnivora .,0.99905056,0.7190000000000001
1142,I am extremely excited to see how the conclusion of the story goes down and can't wait for the third book.,I still really liked it and can't wait for the next book.,0.9987807,0.7190000000000001
1143,A very satisfying ending to a great series.,I loved the way this series ended... now I am have withdrawals.,0.9986872,0.7190000000000001
1144,@realDonaldTrump You are the trump card of my heart.,@realDonaldTrump You have the heart of a lion! Let's make America great again!,0.9983164,0.7190000000000001
1145,Brown dog catches a ball in a sunny yard,a golden dog tries to catch a ball,0.998237,0.7190000000000001
1146,"Based on her international reputation, she's quite good.",he has a pretty good international reputation.,0.9984231,0.7190000000000001
1147,The title Episcopus Romanus means Roman Bishop in Latin .,All popes are Episcopus Romanus which means Bishop of Rome .,0.997876,0.7190000000000001
1148,it is file sharing by the way.,Limewire is a no cost file sharing alternative.,0.9992845,0.7190000000000001
1149,"All those influences had no effect on you whatsoever, is that what you're saying?",are you saying that all of these things don't affect you?,0.99723107,0.7190000000000001
1150,It is the intention of the ISB to make this valuable instrument available for use by double bassists world-wide .,Karr later gave this double bass to the ISB so that double bassists world-wide could play on it .,0.9981836,0.7190000000000001
1151,Fifty-one grizzlies have been radio collared since 1994 as part of the project.,"since 1994, 51 bears grizzly bears have been on the job with the radio.",0.99885523,0.7190000000000001
1152,You can dig around the internet.,YOU CAN DIG AROUND INTERNET MOVIE DATABASE.,0.9830942,0.7190000000000001
1153,A dim lamp from the hallway cast a narrow light through the slit in the doorway.,a knot of faint light filtered through the clearing of the open door from the hallway.,0.99902517,0.7190000000000001
1154,"It opens every door, including the one hiding immoral intensions.","he opens all doors, even those that conceal an amoral decision.",0.99950886,0.7190000000000001
1155,"U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.","U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours.",0.9991303,0.7190000000000001
1156,I cannot telephone because of reasons which will become clear.,"for obvious reasons, I can't make a phone call.",0.9988294,0.7190000000000001
1157,I'd hoped you would not ask.,I was hoping you wouldn't put it to me.,0.9977239,0.7190000000000001
1158,Shah is a Persian term for a king that has been adopted in many other languages .,Shah is a Persian word which means the king or ruler of a country .,0.9995228,0.7
1159,This is the third in the Septimus Heap series.,The best so far of the Septimus Heap series...,0.99899405,0.7
1160,"Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said.","Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.",0.9993322,0.7
1161,"Fanta was the second drink to be produced by Coca-Cola , apart from the original Coca-Cola .","After the war , Fanta was introduced to the United States by Coca-Cola , and in 1960 they bought the trademark .",0.9993959,0.7
1162,"Pardon me, sir. That's a very fascinating ring you've got there.","sorry, you have an amazing ring.",0.9991612,0.7
1163,Taiwan rattled by strong earthquake,China rocked by twin earthquakes,0.9987999,0.7
1164,The EP is the audio-only counterpart to Alive in the Superunknown .,It is available on the CD-ROM Alive in the Superunknown .,0.9991904,0.7
1165,then u can drag and drup the files into ur mp3 player.,"Then, place it onto your phone and open the mp3 player.",0.99448806,0.7
1166,He later served as an assistant conductor at the Czech Philharmonic for 2 years .,He became principal conductor of the Czech Philharmonic Orchestra in 1990 for a short time .,0.99936587,0.695
1167,Miss Thailand is nothing to do with Miss Thailand World and Miss Thailand Universe .,The winner of Miss Thailand has to represent the country and invite other people to come to Thailand .,0.9971914,0.688
1168,The company enter the black forest of Mirkwood without Gandalf .,"At the border of Mirkwood , Gandalf leaves the group .",0.9993027,0.688
1169,Argyll and Bute covers the second largest administrative area of any Scottish council .,"Argyll and Bute is a council area of Scotland , UK .",0.997736,0.688
1170,Mexican Americans are Americans of Mexican descent .,Filipino Americans are Americans of Filipino ancestry .,0.9991567,0.688
1171,It depends upon what you call cheating.,its your call wahts cheating and whats not.,0.977417,0.688
1172,Walid Eido was a Lebanese politician and member of the Current for the Future Lebanese political movement and an MP in the Lebanese Parliament .,"Walid Eido was a Lebanese man who worked for the Lebanese Parliament , a government building in Beirut .",0.9985413,0.688
1173,"The word Zhejiang was the old name of the Qiantang River , which passes through Hangzhou , the provincial capital .","`` Zhejiang '' is named by the Qiantang River , which is also called `` Zhejiang '' .",0.9990482,0.688
1174,"Deep, dark fear building up It's too strong for you","you grow cold, dark fear Is stronger than you",0.99858826,0.688
1175,A black and a brown dog are walking through the woods.,Brown and black dog tussle on grass.,0.9982388,0.688
1176,"Well, if the truth be told, I've not been so acquainted with that promised land as I had thee believe.","if I have to tell you the truth, I don't know the country as well as I have told you.",0.99872434,0.688
1177,call on the phone and ask her out,"Take a chance, call her.",0.9964801,0.688
1178,is there really lust at 1st sight?,I believe in lust and yearning at first sight.,0.9952041,0.688
1179,Volvo Cars introduced the first generation Volvo S40 and V40 compact executive cars in 1995 .,The Volvo S60 is a compact executive sedan produced by the Swedish automaker Volvo from 2000 .,0.99867743,0.688
1180,He has no concern for worldly affairs or possessions.,he's not interested in any mundane matters or property.,0.99945873,0.688
1181,That is until her 16th birthday.,On Portia's 16th birthday she learns that she is a witch.,0.999247,0.688
1182,"This story is listed as fantasy and while it has touches of fantasy, it is more of a historical mystery with feather light romance.","So it has a gentle mystery, with mild fantasy and very little romance flavor.",0.99906325,0.688
1183,"He moved slowly, every gesture bringing pain from the battering he had taken.","slowly, for every movement brought him suffering, he stepped forward.",0.99903804,0.688
1184,"Walls of mirrors shot up on all sides about me, the guisel, and Kergma, but excluding Rhanda.","all around me, the masked man and Kergma flashed up mirrored walls.",0.9996411,0.688
1185,"I don't know how Ms. Saare did it, but this book was even better than the first.",Saare writes this book really well.,0.99497867,0.688
1186,Mr. @realDonaldTrump I appreciate you standing your ground as you've done. I can say I've never felt better about voting.,@realDonaldTrump Just watched you on @FoxNews. You are awesome! You have my vote! #MakeAmericaGreatAgain,0.99505055,0.688
1187,That's the best figure of Booth I've ever seen.,I've never seen a better Booth.,0.9993435,0.688
1188,The things I liked most about THE THICKETY: A PATH BEGINS are the magic system and the author's writing style.,"The ending of THE THICKETY: A PATH BEGINS, oh that ending!",0.9978883,0.688
1189,He got what he had been asking for.,Because he got what he wanted.,0.9996121,0.688
1190,"Rangers Football Club are an association football team based in Glasgow , Scotland , who currently play in the Scottish Premier League .",Hampden Park in Glasgow is the traditional home of the Scotland team and is described by the Scottish Football Association as the National Stadium .,0.9977232,0.688
1191,Indigo and Shade by April Genevieve Tucholke and Whitney Atkinson - 4.5 stars.,Indigo and Shade (April Genevieve)- 3.5 stars.,0.99893546,0.688
1192,exports of sugar produced over the quota framework were not covered by export refunds.,C quota sugar was not eligible for the price support mechanism or for the export refund mechanism.,0.99933994,0.688
1193,"Saint Mesrop Mashtots was an Armenian monk , theologian and linguist .",Saint Mesrop Mashtots was an Armenian monk who invented the Armenian alphabet in the year 406 .,0.9975489,0.688
1194,I think you're going to make Agha sahib very proud today.,today will be a proud sahib proud of you.,0.99891144,0.688
1195,Ichthyosaurus is an extinct genus of ichthyosaur from the Early Jurassic of Europe .,"Ichthyosaurus was an ichthyosaur , a marine reptile ; it was not a dinosaur .",0.9994266,0.688
1196,"The story follows Cara Devon, a sassy, ""de-filed"" Lord's daughter as she looks to uncover her deceased father's artefacts.","Cara was such a spunky, likable character in spite of the atrocities she suffered due to her jerk of a father.",0.9983909,0.688
1197,"four musicians, singing and playing instrument.",Four musicians stand and play their instrument and sing into microphones.,0.9991803,0.688
1198,I will. That is a sad question.,i will :] lol haha jm wow wow.. sad question..,0.9919154,0.688
1199,No consensus exists as to when the French Revolutionary Wars ended and the Napoleonic Wars began .,Napoleonic Wars The Napoleonic Wars are wars that people fought during the rule of Napoleon Bonaparte over France .,0.9980356,0.688
1200,"The function of cork cambium is to produce the cork , a tough protective material .","Another lateral meristem is the cork cambium , which produces cork , part of the bark .",0.99958336,0.688
1201,There are four primary schools situated in Wetherby and one secondary school .,"Wetherby has several primary schools , a large secondary school and Park Lane College .",0.99884593,0.688
1202,Knight's Shadow picks up where the Traitor's Blade left off.,"If you're picking up Knights Shadow, you're probably aware of the central characters already.",0.9964523,0.688
1203,Celia and Marco is our main characters and I grew to love them.,I loved Celia and Marco together and individually.,0.9980496,0.688
1204,Manchester United slashes price for US IPO,Manchester United Reveal Share Price Details,0.9973916,0.688
1205,i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions,@realDonaldTrump first time voting and I'm definitely voting for Trump,0.99647105,0.688
1206,A page with this title has previously been deleted .,Warning : You are starting a page that was previously deleted .,0.9987929,0.688
1207,This broad definition would include newborns and other people who have not been exposed to theistic ideas .,This definition is very general and includes people who have never heard about theistic ideas .,0.99816847,0.688
1208,It is lined by walking paths and shade trees on both sides .,"There are paths and trees on both sides , and many people exercise around it .",0.9992118,0.688
1209,Babies bought by men who raise them as livestock.,they buy kids and grow them like cattle.,0.99841547,0.688
1210,"FOR ME, THIS IS THE BEST FANTASY BOOK I'VE READ THIS 2015.",One of the best books I've ever had the pleasure of reading and definitely high up in my list of favorites.,0.9882837,0.688
1211,inspector Belhet called the office in Los Angeles.,The L.A. office got a callfrom Inspector Bethel here.,0.99882346,0.688
1212,"Paper Heart"", ""Dirty Little Secret"" and ""Move Along"" are my favorite songs.",Those are my most favorite songs that I have heard.,0.9906354,0.688
1213,"NASA and ESA have used Celestia in their educational and outreach programs , as well as for interfacing to trajectory analysis software .","NASA and ESA have used Celestia , but it is not to be confused with Celestia 2000 , ESA 's own program .",0.9995721,0.688
1214,@realDonaldTrump Its admirable how you're willing to lose sponsors for the greater good. We've longed for voice like yours!,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,0.99869156,0.688
1215,But the Damsel had no such assurance.,but the girl did not have that certainty.,0.99842906,0.688
1216,"However , unlike other organisms , a virus can not survive on its own .",A virus is unable to replicate on its own or use `` raw '' materials on which to survive .,0.99857986,0.688
1217,analysis of the acionens effectiitet og produitet 3.4.4.,it is an actionernes effectiitet og produitet 3.9.4.,0.99917537,0.688
1218,Raffles Institution was the first school in Singapore to establish a Scout troop .,Raffles Institution is one of the best secondary schools in Singapore .,0.9990636,0.688
1219,But ah I will be reading the next few books in the series.,"Anyways, I am definitely going to read the rest of the series.",0.99923986,0.688
1220,That difference of terminology cannot but raise a presumption of a difference of concept.,such a terminological distinction can suggest only conceptual differences.,0.9952165,0.688
1221,Households are often divided into quintiles according to their gross income .,Non-family households are disproportionately represented in the lower two quintiles .,0.9988341,0.688
1222,Sources of uncertainties shall be identified and reduced as far as practicable.,"if possible, it will find out and limit the sources of uncertainty.",0.99904764,0.688
1223,This has the same sentence structure as ` Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo ' .,`` Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo '' is a sentence which uses correct grammar .,0.9994427,0.688
1224,"Allman 's solo career has continued intermittently throughout the subsequent decades , sometimes touring when the Allman Brothers Band is off the road .","He was a member of the Allman Brothers Band with his brother , Duane Allman , which popularized Southern Rock in the 1970s .",0.99821526,0.688
1225,Maybe they have a pressing need for their man Boklov.,perhaps his man - Boklovova - they urgently need.,0.99797326,0.688
1226,"Continuous supervision, training and raising of awareness about the terrorist threat is therefore needed.","there is therefore a need for a permanent effort in sight, education, and awareness-raising about the risk of terrorism.",0.9964349,0.688
1227,"Waiting for ""The End of Oz"".","On to the next one, The End of Oz!",0.9958825,0.688
1228,"However , Saint-Denis is older than that .",Saint-Denis dates back to the second century .,0.99795765,0.688
1229,Thirty years from now when you're sitting around your fireside with your grandson on your knee and he asks you:,"when you sit by the fireplace with a grandchild on your knees after 30 years, you won't have to ask:",0.99808574,0.688
1230,He was eligible to play for both England and Trinidad and Tobago .,He has played for Trinidad and Tobago national team .,0.998464,0.688
1231,Right whales are four species of large baleen whales .,"Right whales are similar to bowhead whales , but smaller .",0.9987868,0.688
1232,"If you want more, read my review of the first book, The False Prince.",I absolutely loved The False Prince and was looking forward to reading the second book.,0.99842036,0.688
1233,China yuan weakens to 6.3282 against USD Monday,China's yuan weakens against USD for third day,0.99580646,0.688
1234,Ha Seok-Ju is a retired South Korean football player .,Kim Hyun-Seok is a former South Korean football Striker .,0.9993869,0.688
1235,"This legend has been retold in many versions , and was used by Sigmund Freud to name the Oedipus complex .","The psychologist Sigmund Freud had a theory and he called it the Oedipus Complex , after this story .",0.9993574,0.688
1236,I can't wait to see where things go from here.,Can't wait to read Heir of Fire to see what happens next!,0.9977331,0.688
1237,Thus far the wind was rather warm and the rain as though heated.,"as yet, the wind gusts were more like hot and hot.",0.9991947,0.688
1238,"A cute, light read, a bit predictable but still engaging.","Overall, it was an enjoyable read.",0.99478775,0.688
1239,Specific provisions on the treatment of particular territorial features,This standard does not establish any specific transitional provisions.,0.9980263,0.688
1240,What a great ending to a fantastic series!,But the ending was great and happy.,0.9974261,0.688
1241,Interesting start to a new series by Saintcrow.,"This is the first book in the series by Lillith Saintcrow, the author of the Dante Valentine books.",0.99919486,0.688
1242,We're going to put 100 million miles between us and that madman.,we'll move away from this fool for hundreds of millions of miles.,0.9992893,0.688
1243,Do your best to deal with the situation.,show your best efforts to put up with it !,0.9995223,0.688
1244,"And yet, the Titanic story is the one that holds up to scrutiny of the evidence.",The new study shows that the Titanic story does not stand up to scrutiny imo.,0.99898803,0.688
1245,"Better make it quick, 'cause I gotta cut these two loose pretty soon.","well, hurry up, I'll have to release them soon.",0.9979192,0.688
1246,It doesn't surprise me that somebody stole that car.,I'm not surprised the car was stolen.,0.9918231,0.688
1247,"At the banquet , Banquo 's ghost enters and sits in Macbeth 's place .","The ghost of Banquo , whom he kills , haunts him at an important banquet .",0.9989266,0.688
1248,A woman is slicing garlics.,A woman is slicing an onion.,0.99919456,0.688
1249,An African tribe is standing in their garden with the forest in the background.,A public gathering of sorts consisting mainly of people of an African descent.,0.9985821,0.688
1250,He soon awakened in Mictlan to meet the Aztec god of death Mictlantecuhtli and the Aztec god of dreams Tezcatlipoca .,"He later wakes up in the land of the dead , Mictlan , where the Aztec gods Mictlantecuhtli and Tezcatlipoca sacrifice him .",0.9996277,0.688
1251,once a cheater always a cheater.,Who wants to date a cheater?,0.9930309,0.688
1252,"As a librarian, I can only imagine having the ability to actually pull things from books.",A must for any fantasy loving librarian!,0.99479514,0.688
1253,Gravitational energy is the potential energy associated with gravitational force .,Gravitational potential energy cause 's objects to move towards each other .,0.99752784,0.688
1254,He looked melancholic and walked quietly away.,"I looked at him, and he turned away from me.",0.9945941,0.688
1255,"The 1972 Atlantic hurricane season officially began on June 1 , 1972 , and lasted until November 30 , 1972 .","The 1963 Atlantic hurricane season officially began on June 15 , 1963 , and lasted until November 15 , 1963 .",0.9999684,0.688
1256,People ride and paddle a raft.,Four people are floating on a raft.,0.99771833,0.688
1257,Jane Yellowrock is one of my favorite heroines.,So I am back on the Jane Yellowrock train.,0.9985105,0.688
1258,If you are not talking about american idol I do not know.,"If you are talking about American Idol, then it was chicken little.",0.9989345,0.688
1259,Creates shortcuts to the items you have copied or cut into the selected location.,"on the selected site, a shortcut will create a copy of the copied or deleted items.",0.99900043,0.688
1260,Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.,0.9995425,0.688
1261,Have you heard of hobbies?,Try to find joy in her hobbies.,0.99841446,0.688
1262,"Following his death in 1994 , he was succeeded by his son Kim Jong-il .",His son Kim Jong-il is the current ruler of North Korea .,0.9982461,0.688
1263,A young man jumps in the air on a skateboard.,This man is jumping over a shopping cart on a skateboard.,0.999221,0.688
1264,I've only seen the likes of her in museums.,I only saw it at the museum.,0.99930733,0.688
1265,A skateboarder on a city street.,"A skateboarder in the air at a big, outdoor ramp.",0.99950516,0.688
1266,Tropical Storm Jose was a short-lived tropical storm which made landfall in central Mexico during August 2005 .,Tropical Storm Jose was a tropical storm that lived for a very short time from August 22 to August 23 .,0.99903303,0.688
1267,"The Caracal , despite sometimes being called Persian lynx or African lynx , does not belong to this genus .","The Caracal or Desert Lynx and the Jungle Cat are similar to the lynx , but they are not much of a relative .",0.99834526,0.688
1268,My apologies to the prosecution and the court.,I'm sorry about the lawsuit and the trial.,0.99878234,0.688
1269,"That is the key, and the rest will follow.",Just be yourself and the rest will follow....,0.998163,0.688
1270,The earliest instances of Marathi literature is by Sant Jnyaneshwar with his Bhawarthadeepika .,An early piece of Marathi literature is Bhawarthadeepika by Dnyaneshwar .,0.99948204,0.688
1271,how are we supposed to wait for book four with the ending?,"I can't wait for The Silver Mask to come out, so I can find out what happens next!",0.99861586,0.688
1272,I enjoy a lot from both David Bowie and Pink Floyd.,Pink Floyd 3 was an amazing performance in the sky.,0.9987046,0.688
1273,Albas is a commune in the Aude department in southern France .,"Albas , Aude is a commune of 59 people .",0.99873596,0.688
1274,It is due to them not truly being in love with you.,Because they really don't love you.,0.98283464,0.688
1275,There was a lot of information that I did not find helpful at all.,"It is, well...a whole bunch of stuff...ik ik that did not help at all...but so what?",0.99073726,0.688
1276,Wood poles lean and smell old: thirty-year-old wood.,the wooden pillars lie and the old-fashioned old wood.,0.9990819,0.688
1277,Hofmannsthal 's libretto is a combination of different forms of the German language .,The language used by Hofmannsthal changes according to who is speaking .,0.9933897,0.688
1278,"You can search for it at the following websites: allposters.com, ebay.com or yahoo.com.",allposters.com ebay.com just do a search on yahoooooooooooooooooooooooo,0.9968631,0.688
1279,This isn't normally the style of book that I read but I liked the complexity of it and how different it was for me.,"It's captivating and interesting, but for what I wanted at the current moment when I read it, it's nothing like I expected.",0.99726963,0.688
1280,I've never really said... ...thank you for coming with me.,no one has ever told me...... thanks for going in with me.,0.9995869,0.688
1281,Choose how you want your organization chart page to look.,select the layout page of the Organization Diagram page.,0.9914196,0.688
1282,"So, they turn their attentions to the demon alone.","Together, they form an uneasy alliance to hunt and destroy a demon of tremendous power.",0.99937284,0.688
1283,"On the left, beneath the large squares, the words ""Good Luck"" appear.","Left side, below the big squares. Good luck.",0.99827516,0.688
1284,It has been the home of Aston Villa Football Club since 1897 .,It is the current home stadium of Aston Villa .,0.99961406,0.688
1285,@sbrenn01 @marklevinshow What diversity? Conservatives are racist. I am one. I love Trump.,@NBCNews @realDonaldTrump or the white house!! #trumpforpresident,0.9912925,0.688
